2024-10-18T07:50:26.521Z	 stat 	CPU: 0m, MEMORY: Alloc=6.2Mi, TotalAlloc=87.8Mi, Sys=22.8Mi, NumGC=27	caller=stat/usage.go:61
2024-10-18T07:50:26.647Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T07:51:18.894Z	 stat 	(problems-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T07:51:26.531Z	 stat 	CPU: 0m, MEMORY: Alloc=5.8Mi, TotalAlloc=90.7Mi, Sys=22.8Mi, NumGC=28	caller=stat/usage.go:61
2024-10-18T07:51:26.646Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T07:52:18.877Z	 stat 	(problems-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T07:52:26.517Z	 stat 	CPU: 0m, MEMORY: Alloc=5.2Mi, TotalAlloc=93.6Mi, Sys=22.8Mi, NumGC=29	caller=stat/usage.go:61
2024-10-18T07:52:26.643Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T07:53:18.874Z	 stat 	(problems-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T07:53:26.515Z	 stat 	CPU: 0m, MEMORY: Alloc=4.8Mi, TotalAlloc=96.5Mi, Sys=22.8Mi, NumGC=30	caller=stat/usage.go:61
2024-10-18T07:53:26.641Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T07:54:18.862Z	 stat 	(problems-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T07:54:26.502Z	 stat 	CPU: 0m, MEMORY: Alloc=4.2Mi, TotalAlloc=99.4Mi, Sys=22.8Mi, NumGC=31	caller=stat/usage.go:61
2024-10-18T07:54:26.629Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T07:55:18.870Z	 stat 	(problems-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T07:55:26.511Z	 stat 	CPU: 0m, MEMORY: Alloc=3.9Mi, TotalAlloc=102.3Mi, Sys=22.8Mi, NumGC=32	caller=stat/usage.go:61
2024-10-18T07:55:26.637Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T07:56:18.868Z	 stat 	(problems-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T07:56:26.508Z	 stat 	CPU: 0m, MEMORY: Alloc=3.5Mi, TotalAlloc=105.2Mi, Sys=22.8Mi, NumGC=33	caller=stat/usage.go:61
2024-10-18T07:56:26.635Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T07:57:18.866Z	 stat 	(problems-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T07:57:26.507Z	 stat 	CPU: 0m, MEMORY: Alloc=6.4Mi, TotalAlloc=108.1Mi, Sys=22.8Mi, NumGC=33	caller=stat/usage.go:61
2024-10-18T07:57:26.634Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T07:58:18.865Z	 stat 	(problems-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
