2024-10-18T09:34:31.034Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T09:35:29.814Z	 stat 	(upload-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T09:35:30.823Z	 stat 	CPU: 0m, MEMORY: Alloc=11.7Mi, TotalAlloc=111.5Mi, Sys=30.8Mi, NumGC=19	caller=stat/usage.go:61
2024-10-18T09:35:31.031Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T09:36:29.827Z	 stat 	(upload-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T09:36:30.822Z	 stat 	CPU: 0m, MEMORY: Alloc=8.7Mi, TotalAlloc=114.4Mi, Sys=30.8Mi, NumGC=20	caller=stat/usage.go:61
2024-10-18T09:36:31.029Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T09:37:29.810Z	 stat 	(upload-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T09:37:30.820Z	 stat 	CPU: 0m, MEMORY: Alloc=11.6Mi, TotalAlloc=117.3Mi, Sys=30.8Mi, NumGC=20	caller=stat/usage.go:61
2024-10-18T09:37:31.027Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T09:38:29.807Z	 stat 	(upload-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T09:38:30.817Z	 stat 	CPU: 0m, MEMORY: Alloc=8.7Mi, TotalAlloc=120.2Mi, Sys=30.8Mi, NumGC=21	caller=stat/usage.go:61
2024-10-18T09:38:31.025Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
